uuid,sim,time_sec,ue_id,from_cell,to_cell,is_correct
c9303f06-00fb-4051-baee-5af74c31d23e,sim007,1.86027,10,4,3,True
7b1b78e6-0b8f-40e4-a33c-48e68b082a47,sim007,2.20627,7,4,2,True
31d9c041-408d-4569-87b3-a3ba9615081a,sim007,2.35602,5,3,4,True
b0ffd036-44be-40b1-aef6-ec640d89f0af,sim007,2.50652,4,3,4,True
e43d394d-5060-47c0-8dff-b27449080ed3,sim007,2.80577,15,6,7,True
967806e0-d106-4dab-b9c8-483bc93117e4,sim007,2.90702,3,2,6,True
231a4f32-7f3b-4a71-99a0-304136c7578f,sim007,2.95527,11,5,2,True
9b57ec13-5560-4a06-8a1a-0cd5977352bf,sim007,2.96377,6,3,8,True
cdb103d6-307e-44e4-a17f-1d9a24c69b78,sim007,3.15802,9,4,2,True
872c46e2-cfa1-44f0-886b-1c58b343cf57,sim007,3.40752,16,6,7,True
b3ba80e0-fdc6-4316-9c5c-09323308e750,sim007,4.00827,2,2,7,True
448e8eaa-70f0-4131-8902-4dc03a1c24a3,sim007,4.06127,1,5,6,True
408a301a-0723-4269-8760-3e57eb261ea5,sim007,4.30852,20,8,2,True
c48ccfa2-223f-4f45-9be6-a969b135108e,sim007,4.56027,14,6,5,True
4f7ce9ef-ada7-436c-8f19-0b1f633c5745,sim007,4.80902,19,7,6,True
e04a0284-5469-4686-ab98-000ffa882cfc,sim007,4.90927,17,7,8,True
91c14f23-f16d-403e-ac05-7e1df0fed3a8,sim007,5.76652,8,5,6,True
a5149d94-f34b-4df3-9440-3ee3b1b9274b,sim007,6.17052,12,5,4,True
fe013ac6-317f-456d-84d4-34bc7f9b3314,sim007,6.36377,18,7,2,True
1a95cfba-c03b-4da3-a2ab-c46f08dc2369,sim007,7.47652,5,4,3,True
c0dc7414-2356-49a2-8538-943eec2041eb,sim007,7.48527,13,5,6,True
2c02e624-3ce9-4bde-8cbc-1fda342f44ae,sim007,7.80952,15,7,8,True
d648b8bd-4b71-4c36-b7d5-c05d92f57ed7,sim007,8.31277,9,2,6,True
addffe12-c8d4-44ae-8247-e01e1b2a1aac,sim007,8.31327,11,2,5,True
ab5e7bcc-7266-439d-9e2c-228a11bf112e,sim007,8.31577,4,4,3,True
6f22aa3f-8eb7-4bda-81ba-bdee887e7b15,sim007,8.65927,7,2,8,True
e62d5739-0780-4cf9-b578-10ebf9f507d6,sim007,8.90627,6,8,7,True
b0130509-d7d8-4259-9a22-b47055ce000a,sim007,9.00477,1,6,5,True
46b60f90-34da-4c1d-aae5-089d2ad76ea7,sim007,9.21002,2,7,6,True
169bd268-b7b4-4472-b5d0-8854e815bd1c,sim007,9.36002,20,2,8,True
04b30efb-da28-4669-8f5d-a4f8fc73a777,sim007,9.85602,17,8,7,True
9f7d5b46-f6e1-476d-88fa-1513e96a2585,sim007,10.0098,3,6,5,True
1d2739b8-a295-4f51-a5a5-7c39bdfd24be,sim007,10.1578,10,3,8,True
9127fbc5-7145-48f1-93c1-d9cf3ba1394c,sim007,10.5088,19,6,5,True
83650214-596c-4c38-9f4a-0b38d7dbe192,sim007,10.7155,8,6,5,True
ed863c91-d249-4432-89d0-1efc6f0b81eb,sim007,11.3558,18,2,7,True
485807c4-1ccd-404e-892b-f55ff4da3fe8,sim007,11.7595,12,4,2,True
d0512046-9037-4c9f-a787-dbc6bed6601a,sim007,12.6068,16,7,8,True
9adcde4c-10e2-454b-8b15-791d94646101,sim007,13.2158,5,3,2,True
2d925d09-283f-47fa-bc27-f446c4d22d3b,sim007,13.2563,4,3,8,True
924ad581-fd9b-4028-b0e1-227d588c9aff,sim007,13.2618,9,6,7,True
